week,english,norwegian
39,female,kvinne
39,excellent,utmerkt
39,disagreement,usemje
39,unequal,ulik; ikkje likeverdig
39,impressive,imponerande
39,in my opinion,eg meiner
39,striker,spiss
39,retire,gå av med pensjon
39,exercise,trene
39,health,helse
40,equipment,utstyr
40,is required,trengst; behøvast
40,referee,dommar
40,consider,Reknar som
40,squads,troppar
40,participate,delta
40,entertain,underhalde
40,audience,publikum
40,competitions,konkurransar
40,tricks,triks
42,referee, dommar
42,outsider,ein som står på utsida
42,equipment,utstyr
42,mouth guard,tannbeskyttelse
42,broadcasts,sendingar
42,pads,puter
42,take-out,opptaksprøve
42,tumble,slå;kollbøtte 
42,ranked,rangert
44,resist,stå imot
44,crooked,skeive
44,misty,tåkete
44,further,lenger
44,opposite,motsette
44,fright,skrekk
44,withdrew,trekte vekk
44,glimpse,glimt
44,wrinkly,rynkete
44,fierce,vill; rasande
45,takes care of,tar vare på
45,among,blant
45,childcare agency,barnevernet
45,orphanage,barneheim
45,plaque,metallplate
45,straight away,med ein gong
45,movement,bevegelse
45,shipwreck,skipsvrak
45,musician,musikar
45,gloom,halvmørke
46,ordinary,vanleg
46,deformed,misdanna
46,stuff like that,sånne ting
46,noticed,la merke til
46,pretend,late som
46,annoyed,irritert
46,for instance,for eksempel
46,started yelling,begynte å skrike
46,whatever,uansett kva
46,wherever,overalt kvar
48,greedy,grådig
48,above,all meir enn noko anna
48,selfish,egoistisk
48,spirits,ånder
48,regretful,angrande
48,ashamed,skamfull
48,positively,til og med; sanneleg
48,grateful,takknemleg
48,various,forskjellige
48,rush of happiness, lykkerus